area,name,lat,long
Ayrshire,Portencross,[55.7005205],[-4.900692299999999]
Bath,River Avon,[51.3781018],[-2.3596827]
Cheshire,River Dee,[53.14351627367295],[-3.226531211950963]
Cornwall,Golitha Falls,[50.4903515],[-4.505363099999999]
Cornwall,Helford River,[50.09766251441562],[-5.15326516560014]
Cornwall,Port Gaverne,[50.59252300000001],[-4.822687999999999]
Cornwall,St. Nectan's Kieve,[50.26604709999999],[-5.0527125]
County Durham,Derwent Reservoir,[54.8652717],[-1.979924]
County Durham,River Tees,[54.57215464301117],[-1.80989341751621]
Cumbria,Lake District,[54.5772323],[-2.7974835]
Cumbria,River Eden,[54.66554015316939],[-2.673218426988734]
Cumbria,River Ehen,[54.47189419814961],[-3.477476850206014]
Derbyshire,Dovedale,[53.0666667],[-1.7833333]
Derbyshire,Ladybower Reservoir,[53.3690785],[-1.700359]
Derbyshire,Padley Gorge,[53.3076214],[-1.6239381]
Derbyshire,River Derwent,[53.11686361707763],[-1.502789690804761]
Devon,River Dart,[50.44350156646816],[-3.720977667271459]
Devon,River Tavy,[50.53953788189986],[-4.112395784025254]
Devon,River Teign,[50.61295183922573],[-3.692062044943011]
Dorset,Blue Pool,[50.6497568],[-2.0935428]
Dorset,Durdle Door,[50.6211621],[-2.2768314]
Dorset,Lulworth Cove,[50.6182125],[-2.2470177]
Dorset,River Stour,[50.89056700140593],[-2.0594546071167]
East Sussex,Camber Sands,[50.9327242],[0.7960442999999999]
East Sussex,Cuckmere Haven,[50.7586571],[0.1483262]
Essex,River Crouch,[51.62778322134294],[0.7358582417721509]
Hampshire,River Itchen,[50.98426699086335],[-1.281782986989948]
Herefordshire,River Wye,[52.05639799999999],[-2.715974]
Ireland,Derryclare Lough,[53.4711744],[-9.777187000000001]
Isle of Skye,Fairy Pools,[57.25034309999999],[-6.2582954]
Isle of Wight,River Medina,[50.7183821847319],[-1.286923449648606]
Lake District,Black Moss Pot,[54.4918029],[-3.1328319]
Lake District,Buttermere,[54.5312665],[-3.2645968]
Lake District,Coniston Water,[54.343243],[-3.0716266]
Lake District,Crummock Water,[54.5617166],[-3.3047764]
Lake District,Derwentwater,[54.5768952],[-3.1468043]
Lake District,Easedale Tarn,[54.4699018],[-3.0696217]
Lake District,Grasmere,[54.448834],[-3.020897]
Lake District,Lake Windermere,[54.37393059999999],[-2.9376445]
Lake District,River Brathay,[54.42478558348687],[-3.014037476689148]
Lake District,Rydal Water,[54.44694399999999],[-2.996389]
Lake District,Stickle Tarn,[54.4595078],[-3.101234]
Lake District,Tarn Hows,[54.3833333],[-3.0333333]
Lake District,Ullswater,[54.5761793],[-2.8860129]
Lake District,Wastwater,[54.4428259],[-3.2920176]
London,Hampstead Heath Ponds,[51.5608294],[-0.1629416]
London,The Serpentine,[51.50536349999999],[-0.1662832]
Newcastle upon Tyne,Ouseburn,[54.97523229999999],[-1.5916369]
Norfolk,Holkham Bay,[52.97668849999999],[0.8029891]
Norfolk,River Bure,[52.72599923873115],[1.426485613917509]
Norfolk,River Wensum,[52.7407148516207],[1.033170035928155]
Northern Ireland,Strangford Lough,[54.36979],[-5.5556899]
Northumberland,Linhope Spout,[55.4478166],[-2.0671024]
Oxfordshire,Port Meadow,[51.7717456],[-1.2850855]
Oxfordshire,River Thames,[51.7520209],[-1.2577263]
Scotland,Loch A'an,[57.103433],[-3.627132999999999]
Scotland,Loch Ard,[56.1855683],[-4.4745367]
Scotland,Loch Assynt,[58.17291329999999],[-5.0304939]
Scotland,Loch Awe,[56.297453],[-5.2276149]
Scotland,Loch Ba,[56.4773748],[-5.9668375]
Scotland,Loch Beinn a' Mheadhoin,[57.2831808],[-4.9208949]
Scotland,Loch Chon,[56.21370409999999],[-4.5470022]
Scotland,Loch Doon,[55.2446233],[-4.3680435]
Scotland,Loch Dunmore,[56.7116227],[-3.7657366]
Scotland,Loch Earn,[56.3833333],[-4.2333333]
Scotland,Loch Etive,[56.5666667],[-5.05]
Scotland,Loch Faskally,[56.706944],[-3.759722]
Scotland,Loch Fyne,[56.49067119999999],[-4.2026458]
Scotland,Loch Garten,[57.2400841],[-3.703624]
Scotland,Loch Garten,[57.2400841],[-3.703624]
Scotland,Loch Hourn,[57.11073384602915],[-5.368994626203612]
Scotland,Loch Inch,[57.11732439999999],[-3.9319734]
Scotland,Loch Leven,[56.1966377],[-3.3764062]
Scotland,Loch Lochy,[56.9625746],[-4.9170606]
Scotland,Loch Lomond,[56.1113678],[-4.6288602]
Scotland,Loch Morlich,[57.1666667],[-3.7]
Scotland,Loch Muick,[56.9331153],[-3.1676103]
Scotland,Loch Quoich,[57.0660022],[-5.2888288]
Scotland,Loch Rannoch,[56.6976723],[-4.2282552]
Scotland,Loch Shiel,[56.786873],[-5.6065058]
Scotland,Loch Sunart,[56.69631709999999],[-5.5672377]
Scotland,Loch Tay,[56.5237742],[-4.136089]
Scotland,Loch Tay,[56.5237742],[-4.136089]
Scotland,Loch Tummel,[56.7097668],[-3.9451106]
Scotland,Loch Tummel,[56.7097668],[-3.9451106]
Scotland,Loch Vaa,[57.2350825],[-3.800193699999999]
Scotland,Loch Venachar,[56.22092929999999],[-4.3059357]
Scotland,Loch an Eilein,[57.14678420000001],[-3.8238527]
Scotland,Loch an Eilein,[57.14678420000001],[-3.8238527]
Scotland,Loch an Eilein,[57.14678420000001],[-3.8238527]
Scotland,Lochan Urr,[54.975294],[-3.857622]
Scotland,Lochan a' Chlaidheimh,[56.2196771],[-4.803227199999999]
Scotland,River Almond,[55.96271957145534],[-3.35440593202266]
Scotland,River Awe,[56.40989803764447],[-5.147869463083848]
Scotland,River Ayr,[55.49271931510756],[-4.326001830786234]
Scotland,River Brora,[58.01537779110572],[-3.891085357711848]
Scotland,River Coe,[56.67455871788985],[-5.074264991589137]
Scotland,River Feshie,[57.03493474058497],[-3.842880099456728]
Scotland,River Garry,[56.77441571604462],[-3.990542450560746]
Scotland,River Loy,[56.90585105304969],[-5.136815815972572]
Scotland,River Oich,[57.12007836920196],[-4.713613904223746]
Scotland,River Spey,[57.33464650369232],[-3.839804123319426]
Scotland,River Tay,[56.51206821509619],[-3.415863601439161]
Scotland,River Tummel,[56.68458374771514],[-3.88923036378963]
Scotland,St. Mary's Loch,[55.4929754],[-3.1895211]
Scotland,Whitewater Dash,[56.49067119999999],[-4.2026458]
Snowdonia,Llyn Dinas,[53.0256944],[-4.0628135]
Snowdonia,Llyn Gwynant,[53.0493367],[-4.0203139]
Snowdonia,Llynnau Cregennen,[52.7106091],[-3.9831181]
Somerset,Clevedon Marine Lake,[40.0621865],[-79.1322744]
Somerset,River Brue,[51.15086325533978],[-2.675532832192663]
Surrey,Frensham Ponds,[51.1582399],[-0.7950942]
Surrey,River Wey,[51.14551513379482],[-0.7949680781258731]
Sussex,River Ouse,[50.90823009380569],[-0.05932692902438544]
Swansea,Three Cliffs Bay,[51.5703546],[-4.113751199999999]
Wales,Crickhowell River Usk,[51.69699940432961],[-2.98473201672097]
Wales,Llyn Cau,[52.6928357],[-3.9034371]
Wales,Llyn Cwm Llwch,[51.887573],[-3.4517872]
Wales,Llyn Padarn,[53.12640450000001],[-4.1289386]
Wales,River Dee,[53.14351627367295],[-3.226531211950963]
Wales,River Llugwy,[53.11010828406067],[-3.88067488892672]
Yorkshire,Brimham Rocks,[54.0802741],[-1.6850459]
Yorkshire,River Swale,[54.24976003926272],[-1.768959382678404]
Yorkshire,River Wharfe,[54.02888434579113],[-1.671278870331029]
